Dataset,PMID,Paper,Link to original dataset,Objectives,Key points to remember,Study Period (years),Primary Breast Tissue,Metastatic Tissue,Normal Tissue,"Confirmation (complete confirmation, partial confirmation all good, small conflicts, large conflicts, no information to compare)",Tissue,Treatment,ER,PGR (PR),HER-2,Node,Grade,Tissue,Treatment,ER,PGR (PR),HER-2,Node,Grade,Objectives,Short Summary of Results,Notes,,
CAL,17157792,http://www.ncbi.nlm.nih.gov/pubmed/17157792,http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-158/,,,1989-1997,TRUE,FALSE,FALSE,No information to compare,130,NR,NR,NR,NR,NR,NR,118,0=14; 1=36; 2=40; 6=25; NA=3,0=43; 1=75,0=51; 1=66; NA=1,na=118,0=51; 1=67,1=10; 2=42; 3=61; NA=5,"The role of genome copy number abnormalities in breast cancer was examined by analyzing the association between copy number abnormalities, gene expression, and clinical outcome.",Recurrent copy number abnormalities differ between tumor subtypes as defined by gene expression patterns.  Accuracy of stratification by outcome can be improved by combining expression and copy number.,Gene expression data for 130 primary tumors; Summary statistics not reported,,
DFHCC,20098429,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2826790/,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19615,,,2000-2003,TRUE,FALSE,FALSE,No information to compare,115,NR,NR,NR,NR,NR,NR,115,0=7; 1=38; 2=22; 6=42; NA=6,"0=45, 1=70",0=51; 1=64,0=79; 1=36,0=62; 1=53,1=23; 2=28; 3=64,Identifying genes critical in metastasis is important in the development of targeted therapies in order to improve disease outcomes. ,A small number of over-expressed and over-amplified genes were significantly associated with early recurrence despite adjuvant therapy.  This was verified in independent cohorts. ,"I believe the paper cited in the source article was incorrect; the one linked here has the correct dataset cited. Table 4 is not in the supplementary table, which has the summary statistics",,
DFHCC2,20100965,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2834466/,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18864,Test the efficacy of treating TNBC with neoadjuvant cisplatin; explore biomarkers to identify predictors of response,,2000-2003,TRUE,FALSE,FALSE,No information to compare; Information in table 1 is not tabulated,28,NR,NR,NR,NR,NR,NR,84,1=84,0=53; 1=31,0=53; 1=31,0=66; 1=18,NA=84,1=10; 2=16; 3=58,"Cisplatin may be an effective line of therapy against triple-negative breast cancer, which share similar features of BRCA-1 associated cancer. A trial was conducted administering neoadjuvant cisplatin in a cohort of patients with triple-negative breast cancer and biomarkers were examined to identify predictors of response.",A subset of the patients experienced a response induced by cisplatin and biomarkers were identified that could predict response to cisplatin.  ,"Should be ER, PGR, and HER2 negative (triple negative tumors); Diagnosis period of 2000-03 was not specified in original paper, but at http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2826790/#SD2; Node status is reported in table 1 of paper (+/-)",,
DFHCC3,16473279,http://www.ncbi.nlm.nih.gov/pubmed/16473279,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3744,,,NR,TRUE,FALSE,FALSE*,No information to compare,43,NR,NR,NR,NR,NR,NR,40,NA=40,NA=40,NA=40,NA=40,NA=40,NA=40,"Sporadic basal-like breast cancers are a class of breast cancer that are phenotypically similar to BRCA1-associated cancers. These cancers are typically aggressive with a poor prognosis, and since they lack estrogen and HER2 receptors, there are no targeted therapies available. The molecular mechanisms leading to this subtype of tumor are examined in this paper.",Basal like cancersξoften lack an inactivated X chromosome.ξOther markers found were duplication of the active X chromosome andξnonheterochromatinized X chromosomal DNA. A small subset of X chromosomal genes were overexpressed. These abnormalities are thought to led to the pathogenesis of basal like cancers.,"43 samples in paper, table in supplement 3 shows 47 (same as GEO); diagnosis period not specified in table",,
DUKE,16273092,http://www.ncbi.nlm.nih.gov/pubmed/16273092,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse3143,,,NR,TRUE,FALSE,FALSE,No information to compare,NR,NR,NR,NR,NR,NR,NR,171,99=171,0=57; 1=114,0=23; 1=65; NA=83,NA=171,0=53; 1=36; NA=82,NA=171,"Defining cancer subtypes, potential recurrences, and response to therapy can be done using gene expression microarray data. Here, gene expression signatures are identified to show activated oncogenic pathways.","It was shown that the activationξstatus of several oncogenic pathways can beξidentified by gene expression signatures. These gene signatures identify deregulation of pathways, associations with clinically relevant outcomes, and characteristics of specific cancers and tumor subtypes.",No information provided about tumor samples,,
DUKE2,18024211,http://www.ncbi.nlm.nih.gov/pubmed/18024211,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse6861,Predicting response with gene signature,,NR,TRUE,FALSE,FALSE,Large Conflicts,125,NR,0=125,0=122; 1=3,NR,0=49; 1=76,1=2; 2=37; 3=70; NA=16,160,1=160,0=123; 1=37,0=133; 1=25; NA=2,NA=160,0=58; 1=95; NA=7,1=2; 2=37; 3=70; NA=51,Confirming the validity of gene expression signatures that predict growth inhibitory and cytotoxic effects of common chemotherapeutic drugs. ,Retraction in Lancet Feb 2011 (21277543); Regimen specific signatures were able to predict pathological complete response. Selecting patients with these gene signataures could increase the proportion of patients with pCR than by basing clinical decisions on clinical factors. ,Paper reports 125 usable samples; data shows 161; GSE shows 161; All should be ER negative; Grade has 35 extra NAs - the rest of the grade matches paper,,
EMC2,19421193,http://www.ncbi.nlm.nih.gov/pubmed/19421193,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse12276,,,NR,UNK,UNK,UNK,No information to compare,NR,NR,NR,NR,NR,NR,NR,204,0=48; 1=156,NA=204,NA=204,NA=204,0=48; NA=156,NA=204,The mechanisms for brain metastasis in breast cancer are unknown. The gene expression of metastatic cells was examined.,Genes were identified that may increase the ability of breast cancer cells to infiltrate the blood-brain barrier.,"Linked dataset is for cell line; tumor characteristics under ""Metastatic sample gene-expression analysis"" not discussed, however the GEO Assession link cites this paper",,
EORTC10994,15897907,http://www.ncbi.nlm.nih.gov/pubmed/?term=15897907,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1561,,,NR,TRUE,FALSE,FALSE,No information to compare,49,NR,NR,NR,NR,NR,NR,49,NA=49,0=22; 1=27,0=29; 1=18; NA=2,NA=49,"0=19, 1=30",1=4; 2=22; 3=20; NA=3,"The two most prominent tumor classes as determined by gene expression profiles, luminal and basal, differ in the expression of the estrogen receptor alpha gene. The androgen expression profile was identifed in a group of breast tumors.","The tumors with an apocrine gene expression profile had strong histological apocrine features. These tumors were androgen receptor positive and were all ER negative, creating further classifications of tumor cells based on steroid receptor activity- luminal which are ER and AR positive, basal that are ER and AR negative, and molecular apocrine that are ER negative and AR positive.",EORTC 10994/BIG00-01 trial that is also used for DUKE2 dataset,,
EXPO,,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2109,,,NR,NR,NR,NR,No information to compare,NR,NR,NR,NR,NR,NR,NR,353,NA=353,0=85; 1=161; NA=107,0=114; 1=129; NA=110,0=166; 1=61; NA=126,NA=353,1=32; 1=114; 3=151; NA=56,N/A,N/A,,,
FNCLCC,17659439,http://www.ncbi.nlm.nih.gov/pubmed/?term=17659439,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE7017,,,NR,TRUE,FALSE,FALSE,Small conflicts,150,UNK,0=25; 1=115; NA=10,0=39; 1=101; NA=10,NA=150,1=150,1=25; 2=64; 3=46; NA=15,150,1=150,NA=150,NA=150,NA=150,1=150,NA=150,The correlation between molecular signatures and metastatic-free survival is explored in a retrospective study of node-positive breast cancer. ,"A potentially more powerful clinicogenomic model was created by combining a subset of relevant genes from an already published gene expression signature and a commonly used clinical prognostic model (NPI). The genes in this model are known to have a role in breast cancer, carcinogenesis, or chemotherapy resistance.","Grade, ER and PR status are reported in paper (table 1)  ",,
