Dataset,PMID,Dataset_accession,Platform_description,Platform
E.MTAB.386,,E.MTAB.386,III. HumanRef-8 v2,GPL6104
GSE12418,,GSE12418,SWEGENE v2.1.1_27k,GPL5886
GSE12470,,GSE12470,Agilent G4110b,GPL887
GSE13876,,GSE13876,Operon Human v3,GPL7759
GSE14764,,GSE14764,Affymetrix U133A,GPL96
GSE17260,,GSE17260,Agilent G4112a,GPL6480
GSE18520,,GSE18520,Affymetrix U133 Plus 2.0,GPL570
GSE19829,,GSE1929,Affymetrix U133 Plus 2.0/Affymetrix U95 v2,GPL570///GPL8300
GSE20565,,GSE20565,Affymetrix U133 Plus 2.0,GPL570///GPL2005///GPL6801
GSE2109,,GSE2109,Affymetrix U133 Plus 2.0,GPL570
GSE26712,,GSE26712,Affymetrix U133A,GPL96
GSE30009,,GSE30009,TaqMan qRT-PCR 380,GPL13728
GSE30161,,GSE30161,Affymetrix U133 Plus 2.0,GPL570
GSE32062,,GSE32062,Agilent G4112a,GPL570///GPL6480
GSE32063,,GSE32063,Agilent G4112a,GPL6480
GSE6008,,GSE6008,Affymetrix U133A,GPL96
GSE6822,,GSE6822,Affymetrix Hu6800,GPL80
GSE9891,,GSE9891,Affymetrix U133 Plus 2.0,GPL570
PMID15897565,15897565,PMID15897565,Affymetrix U133A,GPL96
PMID17290060,17290060,PMID17290060,Affymetrix U133A,GPL96
PMID19318476,19318476,PMID19318476,Affymetrix U133A,GPL96
TCGA,,TCGA,Affymetrix HT U133A,GPL4685
TCGA-mirna-8x15kv2,,TCGA-mirna-8x15kv2,Agilent microRNA 8x15k v2,Agilent microRNA 8x15k v2
